epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.0721,2.92383,5.9504,0.72345,7.51913,3.32156,0.04103,1,0.44064,0.18374,0,0,0,0,1.72669,6.28187,0.71224,2.88016,2.38784,8e-05,8e-05,8e-05
2,146.451,1.79382,5.07642,0.70124,2.2143,2.17323,0.87853,0.625,0.75771,0.52565,0,0,0,0,1.22018,6.06337,0.68973,1.8882,1.64259,0.00016218,0.00016218,0.00016218
3,217.035,0.87201,3.50201,0.69353,1.20334,1.21462,1,0.79147,0.93764,0.66243,0,0,0,0,0.79727,5.32466,0.60821,2.23441,1.31875,0.00022456,0.00022456,0.00022456
4,312.285,0.99257,2.9326,0.60236,1.02288,1.41784,1,0.98353,0.995,0.78192,0.0644,0.0625,0.00519,0.00052,0.78574,4.91231,0.56202,1.27232,1.28775,0.00026714,0.00026714,0.00026714
5,384.928,0.67882,2.16169,0.55825,0.62816,1.16348,0.87113,0.846,0.94942,0.78847,0.21296,0.375,0.10863,0.01347,0.68593,4.44445,0.54557,1.28105,1.25206,0.00028992,0.00028992,0.00028992
6,450.6,0.55621,1.74177,0.57984,0.52961,1.01523,0.91456,1,0.995,0.88922,0.91456,1,0.995,0.13665,0.56568,3.77866,0.50284,1.0675,1.05098,0.0002929,0.0002929,0.0002929
7,513.473,0.6146,2.01189,0.56331,0.50579,1.03899,0.93892,1,0.995,0.68317,0.93892,1,0.995,0.33098,0.95105,2.96831,0.43947,1.10679,1.34537,0.00027608,0.00027608,0.00027608
8,564.688,0.51755,1.76405,0.56284,0.43821,0.96445,0.79657,1,0.98441,0.78917,0.79657,1,0.99147,0.46242,0.77938,2.68209,0.42766,1.45048,1.20423,0.00023946,0.00023946,0.00023946
9,624.78,0.53232,1.77139,0.54706,0.4299,1.01693,0.86964,1,0.995,0.84818,0.86964,1,0.995,0.50635,0.62195,2.33029,0.42964,0.89922,1.07573,0.00018304,0.00018304,0.00018304
10,679.913,0.46419,1.59823,0.56185,0.38421,0.92424,0.93714,1,0.995,0.89112,0.93714,1,0.995,0.54745,0.56007,2.12903,0.43385,0.71215,1.02675,0.00010682,0.00010682,0.00010682
